Player,TEAM,TYPE,SEASON,AGE,GP,W,L,MIN,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,Plus_Minus,OffRtg,DefRtg,NetRtg,ASTP,AST/TO,AST Ratio,OREBP,DREBP,REBP,TO Ratio,eFGP,TSP,USGP,PACE,PIE
Kendrick Perkins_2014-2015,CLE,Regular,2014-2015,30,68,38,30,16.9,1.5,3.3,44.9,0,0,0,0.6,1.2,50.6,1.3,3.4,4.7,0.8,1.4,0.2,0.6,2.4,0,0,3.6,0.3,101,100.3,0.7,6.5,0.54,12.5,8.7,21.5,15.2,23.2,44.9,46.7,13.9,96.4,5.1
Kenneth Faried_2014-2015,DEN,Regular,2014-2015,25,75,30,45,27.8,5,9.8,50.7,0,0.1,12.5,2.7,3.8,69.1,3.2,5.7,8.9,1.2,1.6,0.8,0.8,2.8,26,0,12.6,-0.5,105.9,107.1,-1.2,6.7,0.75,8.3,12.1,23.4,17.5,11,50.7,54.8,20.2,98.21,11.6
Kent Bazemore_2014-2015,ATL,Regular,2014-2015,25,75,53,22,17.6,1.9,4.4,42.6,0.6,1.8,36.4,0.8,1.3,60,0.3,2.7,3,1,1,0.7,0.4,1.7,0,0,5.2,-1.3,101.1,101.9,-0.7,9.3,1.07,14.8,1.8,16.5,9.3,13.9,49.8,52,15.7,96.34,6.8
Kentavious Caldwell-Pope_2014-2015,DET,Regular,2014-2015,22,82,32,50,31.5,4.8,11.9,40.1,1.9,5.4,34.5,1.3,1.9,69.6,0.6,2.5,3.1,1.3,1.1,1.1,0.2,2,0,0,12.7,0.8,104.7,104.3,0.5,6.5,1.16,8.8,1.9,9.2,5.4,7.6,48,50.1,19.2,95.94,6.5
Kenyon Martin_2014-2015,MIL,Regular,2014-2015,37,11,7,4,9.5,0.8,2,40.9,0,0,0,0.2,0.2,100,0.5,1.2,1.7,0.5,0.3,0.5,0.5,1.2,0,0,1.8,-0.8,99.5,101.8,-2.3,6.8,1.67,16.2,6.7,12.3,9.7,9.7,40.9,43.7,11.6,97.82,5.6
Kevin Durant_2014-2015,OKC,Regular,2014-2015,26,27,18,9,33.8,8.8,17.3,51,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6,6.6,4.1,2.7,0.9,0.9,1.5,5,0,25.4,6.2,106.7,99.5,7.2,21.3,1.49,15.1,2,18.1,10.4,10.2,57.8,63.3,28.5,100.63,19.4
Kevin Garnett_2014-2015,MIN,Regular,2014-2015,39,47,20,27,20.3,3,6.5,46.7,0,0.1,14.3,0.8,1,80,1,5.6,6.6,1.6,1,1,0.4,2.3,3,0,6.9,-0.4,102.7,102.5,0.2,13.1,1.67,17.2,5.9,31.6,18.9,10.2,46.9,49.6,18.4,93.81,12.6
Kevin Love_2014-2015,CLE,Regular,2014-2015,26,75,50,25,33.8,5.5,12.7,43.4,1.9,5.2,36.7,3.4,4.3,80.4,1.9,7.9,9.7,2.2,1.6,0.7,0.5,1.9,38,0,16.4,5.3,109.5,103,6.6,10.4,1.38,12.1,6.6,26.1,16.5,8.8,50.9,56.2,21.6,94.75,13.5
Kevin Martin_2014-2015,MIN,Regular,2014-2015,32,39,11,28,33.4,6.8,16,42.7,1.9,4.9,39.3,4.4,4.9,88.1,0.5,3.2,3.6,2.3,1.9,0.8,0,1.9,0,0,20,-6.5,100.8,111.7,-10.9,12.3,1.17,10.2,1.6,10.8,6.1,8.7,48.7,54.9,26.6,97.31,10.5
Kevin Seraphin_2014-2015,WAS,Regular,2014-2015,25,79,45,34,15.6,2.9,5.7,51.3,0,0,0,0.7,1,70.7,1.1,2.5,3.6,0.7,1.2,0.1,0.7,2.5,1,0,6.6,-2,98.6,104,-5.4,8.5,0.6,9.2,8.4,18.2,13.5,15.2,51.3,53.5,22,92.82,8.6
Khris Middleton_2014-2015,MIL,Regular,2014-2015,23,79,40,39,30.1,5.1,11,46.7,1.4,3.4,40.7,1.7,2,85.9,0.6,3.8,4.4,2.3,1.4,1.5,0.1,2.3,1,0,13.4,4,102.9,96,6.9,12.3,1.61,14.8,2.3,13.8,8.2,9.2,53,56.3,19.8,96.29,11.6
Kirk Hinrich_2014-2015,CHI,Regular,2014-2015,34,66,37,29,24.4,2.2,5.8,37.3,0.9,2.5,34.5,0.5,0.8,70,0.3,1.5,1.8,2.2,1.1,0.7,0.2,2.2,0,0,5.7,0.6,103.2,101.4,1.9,14.3,2.03,23.7,1.4,6.5,4,11.7,44.9,46.8,13.2,95.83,4.1
Klay Thompson_2014-2015,GSW,Regular,2014-2015,25,77,64,13,31.9,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,0.4,2.9,3.2,2.9,1.9,1.1,0.8,1.6,1,0,21.7,10.1,113.5,97.7,15.8,13.7,1.49,12.5,1.2,9.2,5.4,8.4,55.5,59.1,27.5,101.29,12.6
Kobe Bryant_2014-2015,LAL,Regular,2014-2015,36,35,10,25,34.5,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,1.9,4,2,22.3,-8.4,100.4,112.6,-12.2,30,1.54,17.2,2.2,16.6,9,11.2,41.1,47.7,34.3,98.34,11.8
Kosta Koufos_2014-2015,MEM,Regular,2014-2015,26,81,55,26,16.6,2.2,4.4,50.8,0,0,0,0.7,1,64.7,1.5,3.8,5.3,0.5,0.9,0.4,0.8,1.8,0,0,5.2,1.3,99.1,94.8,4.3,4.4,0.54,7.4,9.7,24.6,17.1,13.8,50.8,53,15.8,93.86,11.1
Kostas Papanikolaou_2014-2015,HOU,Regular,2014-2015,24,43,29,14,18.5,1.6,4.6,35,0.7,2.5,29.2,0.3,0.4,72.2,0.9,1.8,2.7,2,1.3,0.7,0.3,1.7,0,0,4.2,-0.9,98.9,101.5,-2.6,16.6,1.55,24.6,5.6,11.4,8.5,15.9,42.9,44.4,14.4,98.48,5.6
Kris Humphries_2014-2015,WAS,Regular,2014-2015,30,64,37,27,21,3.3,7,47.3,0,0.1,0,1.4,1.8,74.4,1.8,4.7,6.5,0.9,0.7,0.5,0.4,2,3,0,8,-1.4,99.7,101.3,-1.6,6.8,1.24,9.5,9.9,24.9,17.4,7.7,47.3,51.2,18.4,95.18,11.9
Kyle Anderson_2014-2015,SAS,Regular,2014-2015,21,33,22,11,10.9,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.3,0.5,0.2,0.8,0,0,2.2,-1.1,101.1,105.9,-4.8,11.6,2.8,21,1.7,21,11.6,7.5,36.5,38.9,13.5,95.15,7.1
Kyle Korver_2014-2015,ATL,Regular,2014-2015,34,75,58,17,32.2,3.9,8,48.7,2.9,6,49.2,1.4,1.6,89.8,0.2,3.9,4.1,2.6,1.4,0.7,0.6,1.9,1,0,12.1,8.3,110.8,99.8,10.9,11.1,1.83,20.5,0.8,13.1,7.3,11.2,67.1,69.9,14.3,96.48,9.7
Kyle Lowry_2014-2015,TOR,Regular,2014-2015,29,70,43,27,34.5,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,0.8,3.9,4.7,6.8,2.5,1.6,0.2,3,13,2,17.8,2.9,107.5,104.5,3,31.2,2.73,25.9,2.5,12.9,7.7,9.5,47.6,52.7,24.9,96.5,12.6
Kyle OQuinn_2014-2015,ORL,Regular,2014-2015,25,51,15,36,16.2,2.3,4.7,49.2,0.2,0.8,27.9,0.9,1.1,77.2,0.9,3,3.9,1.2,1.1,0.6,0.8,2.2,3,0,5.8,-2.4,96,102.5,-6.5,11.9,1.07,15.5,6.5,20.7,13.7,14.4,51.7,55,18.5,94.81,10.1
Kyle Singler_2014-2015,OKC,Regular,2014-2015,27,80,36,44,21.8,2.2,5.6,38.6,1.2,3,39.8,0.5,0.7,76.9,0.4,2,2.4,1.1,0.7,0.6,0.3,1.9,0,0,6,-1.1,103.3,106.1,-2.8,7.1,1.55,14,1.9,10,5.9,9,49.3,51.2,13,96.96,4.8
