sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,f2,emotion
51,125.2547065507,213.0438888279,174.4644003758,0.0028417444,1.3646875,1296.9260698537,3273.4344440039,4570.4056705239,Happy
52,134.9964683193,288.2410843912,218.7644523099,0.0102399513,1.0555625,1154.230721359,3672.9626627512,--undefined--,Happy
53,116.135423369,236.1505153819,180.0775740573,0.0043651784,0.799625,527.0402302713,2544.0289481505,4167.9636433141,Happy
54,159.7156544531,296.1341106783,224.0877194529,0.0065842799,1.0661875,984.4140623687,3184.7711891048,3838.4403641662,Happy
55,157.5461624422,412.1284736526,212.9468901434,0.0019871046,0.9275625,989.4840900772,2417.0285951224,4044.0429082128,Happy
56,98.6291429581,361.7479065378,249.2391944066,0.0050283349,1.0315625,1095.746164469,2701.4287895784,4425.9514959133,Happy
57,177.8319850418,275.0990541639,235.5659087976,0.0104325538,1.1335,930.39784235,3660.3433865487,3696.0877611025,Happy
58,138.3740199557,569.0312609835,288.3238311638,0.0150391506,1.279375,831.9843419844,3072.5557446178,3645.8797607785,Happy
59,147.7107342459,275.3331408288,240.9276757365,0.0124196121,1.194125,2566.8197229998,4541.5766868609,--undefined--,Happy
60,144.8485438168,265.8996156558,227.3148282173,0.0058058225,1.080375,1189.3416448984,2493.6561427127,3878.1613998985,Happy
61,152.0776483415,262.4852155951,212.3270626712,0.0083243986,0.8955625,735.448319861,2796.1813856447,4964.5172219494,Happy
62,80.9444834015,561.5536311442,324.7743133703,0.0245127264,1.9825,1034.9561184244,2854.4359579167,4360.7095596881,Happy
63,245.7050232369,389.6143150965,340.6790307861,0.0258671511,1.9825,348.7493674029,2472.7853113207,4623.1335076724,Happy
64,189.9358531655,380.2215486876,324.9790180688,0.0131261553,1.840875,140.0935233463,2488.077348175,3973.5950770062,Happy
65,192.3615962551,432.5179208655,266.4399423891,0.0090247394,0.8955625,1055.6266600565,1581.0456207628,3974.170616461,Happy
66,152.904943413,291.3265758463,222.8494671112,0.0084359607,0.966625,1321.6029789411,2607.4598196941,4156.3446862753,Happy
67,169.2871304096,471.3988888017,290.2212169087,0.0089753168,0.90975,971.6493147326,3111.8570023942,3906.7309666781,Happy
68,238.0097997222,335.7727101213,279.9385683664,0.0057423584,0.81025,1173.2916995354,3023.7704066039,--undefined--,Happy
69,108.4797849863,368.2193372988,262.7437479564,0.0025677122,0.81025,1324.1035928154,2587.155147609,3666.0641182407,Happy
70,151.2811456938,576.6007714403,284.9565703769,0.0013922818,1.251,2306.5894682239,4151.0322319381,--undefined--,Happy
71,112.766370845,259.4157239659,190.7532808405,0.0112977655,0.980875,1079.1251439979,2711.015860587,3954.6862566298,Happy
72,120.6023649002,319.513310483,247.5228658825,0.0054601282,0.7249375,676.4126753582,2577.3195755132,4690.5476004491,Happy
73,110.1336706324,245.2774674046,207.444054307,0.0044734421,1.0661875,662.945984311,2563.3847751506,3837.6503641373,Happy
74,181.3556829072,283.4207978131,251.5490036231,0.009215802,1.23675,1293.2432699421,2531.1789863921,4153.6930971757,Happy
75,166.387550062,259.319386228,212.6371862637,0.0046731743,1.1088125,1260.9695643875,3835.5733588234,--undefined--,Happy
76,213.9331363133,343.0016507197,283.832383451,0.0173962573,1.279375,721.6598972356,2820.0034063663,2946.9934721906,Happy
77,150.8850601668,382.0648457786,290.1381223926,0.0059837728,0.9381875,2232.0116179267,4012.0234146152,--undefined--,Happy
78,113.4869007324,297.1899018476,217.3425641553,0.003901036,0.8955625,1385.5734377881,4019.3591909441,--undefined--,Happy
79,163.9405662644,293.9275470568,225.3558010239,0.0024240232,0.7249375,1696.0536508508,4080.0695585066,--undefined--,Happy
80,164.2912495175,315.1244760531,263.6795489117,0.0084568788,1.279375,805.8564768682,3112.6185912195,3550.2789194049,Happy
81,82.4489777801,278.2201028664,213.9822670347,0.0063361059,1.3078125,961.6154087305,2335.6206679149,3918.3436608838,Happy
82,163.8985254312,321.3481918738,267.0753776599,0.0124779166,1.0235,939.802931092,2446.4600711748,4013.6198947498,Happy
83,117.2855530791,243.8181572593,188.3014932984,0.0038916128,0.7676875,827.4344038507,2355.2038119531,4389.8228965284,Happy
84,239.8275580006,285.0819694315,268.9105911687,0.0127149371,1.0235625,1106.031462114,3464.518618558,--undefined--,Happy
85,227.1472059346,308.3552443329,278.2702301029,0.0043664222,0.81025,2540.979827364,4510.7529028956,--undefined--,Happy
86,152.010229747,283.4813047494,228.8224571808,0.0109343526,0.93825,694.4098037136,2740.3069739258,4872.6379234419,Happy
87,184.3357404742,385.944711811,266.0873200006,0.0292811178,1.1514375,696.4315487019,3042.7482268196,4628.6584744018,Happy
88,147.7625914042,256.8515489719,218.3086570373,0.004289804,1.1088125,663.2628482433,3275.981583856,--undefined--,Happy
89,156.3070214353,229.5171851107,202.7080783655,0.0020969132,0.895625,784.0451518568,3051.9888749434,--undefined--,Happy
90,231.7109195086,282.6701494589,258.0446599512,0.0013222771,1.0235625,1020.9589259337,2854.5374785124,3992.6393922206,Happy
91,162.7028076685,265.4957968153,235.7815665727,0.0122922759,0.980875,1101.5485810404,3115.9547381519,4595.684911582,Happy
92,167.7221797932,255.4514749268,222.1050237648,0.0079014688,0.980875,1163.3023406692,3274.0344486755,4494.5953499281,Happy
